#
# $Id: abr.txt,v 1.2 2008/03/06 16:33:24 giglesia Exp $
# $Name:  $
#
a.c.,antes de cristo
r.c.,ruégase contestación
r.d.,real decreto
r.i.p.,en paz descanse
r.m.,reverenda madre
r.o.,real orden
r.p.m.,revolución por minuto,revoluciones por minuto
rda.,reverenda
rdo.,reverendo
ref.,referencia
reg.,registro
rel.,religión
rev.,reverendo
revma.,reverendísima
rguez.,rodríguez
rma.,reverendísima
rmo.,reverendísimo
rr.dd.,reales decretos
rr.mm.,reverendas madres
rr.oo.,reales órdenes
rte.,remitente
rvda.,reverenda
rvdo.,reverendo
s.a.,sociedad anónima
s.a.r.,su alteza real
s.d.,sin data
s.e.,su excelencia
s.e.o.o.,salvo error u omisión
s.l.,sociedad limitada
s.m.,su majestad
s.n.,servicio nacional
s.p.,servicio público
s.r.m.,su real majestad
s.s.,su santidad
s.ª,señora
s/n,sin número
s/n.,sin número
sarg.,sargento
sdad.,sociedad
secret.,secretario
seg.,segundo,segundos
sept.,septiembre
serv.,servicio
sig.,siguinte
sigs.,siguintes
sing.,singular
smo.,santísimo
soc.,sociedad
sr.,señor
sr.ª,señora
sra.,señora
sras.,señoras
sres.,señores
srta.,señorita
ss.aa.,sus altezas
ss.ee.,sus excelencias
ss.mm.,sus majestades
sta.,santa
sto.,santo
subst.,substantivo
sup.,superior
supl.,suplemento
símb.,símbolo
t.a.e.,tasa anual equivalente
t.v.g,televisión de galicia
tel.,teléfono
teléf.,teléfono
test.,testimonio
tfno.,teléfono
tlf,teléfono
tlf.,teléfono
ton.,tonelada,toneladas
trad.,traducción
transf.,transferencia
trav.,travesía
tte.,teniente
tv.,televisión
tít.,título
ud.,usted
uds.,ustedes
urb.,urbanización
v.a.,véase además
v.a.r.,vuestra alteza real
v.b.,vuestra beatitud
v.e.,vuestra excelencia
v.epr.,visto e prace
v.g.,verbigracia
v.gr.,verbigracia
v.i.,vuestra ilustrísima
v.m.,vuestra majestad
v.o.,versión original
v.s.,vuestra señoría
v.s.i.,vuestra señoría ilustrísima
v.t.,véase también
var.,variable
vencto.,vencimiento
vers.,versículo
voc.,vocábulo
vol.,volumen
vols.,volúmenes
vta.,vuelta
vto.,vuelto
vv.aa.,vuestras altezas
vv.ee.,vuestras excelencias
vv.mm.,vuestras majestades
vºbº.,visto bueno
w.c.,retrete
át.,ático
íd.,ídem
índ.,índice
ít.,ítem
